step:3600/3600, q_loss:0, rewards:-1014.6122222222223
episode:0/200, average travel time:1224.6039735099337
intersection:0, mean_episode_reward:-57.192499999999995
intersection:1, mean_episode_reward:-61.98138888888889
intersection:2, mean_episode_reward:-50.78777777777778
intersection:3, mean_episode_reward:-46.73999999999998
intersection:4, mean_episode_reward:-54.37527777777778
intersection:5, mean_episode_reward:-17.182499999999997
intersection:6, mean_episode_reward:-56.973888888888894
intersection:7, mean_episode_reward:-32.97666666666669
intersection:8, mean_episode_reward:-36.673333333333325
intersection:9, mean_episode_reward:-9.771388888888882
intersection:10, mean_episode_reward:-9.805833333333336
intersection:11, mean_episode_reward:-15.861111111111104
intersection:12, mean_episode_reward:-45.295277777777805
intersection:13, mean_episode_reward:-44.48555555555556
intersection:14, mean_episode_reward:-44.978611111111135
intersection:15, mean_episode_reward:-48.33527777777777
intersection:16, mean_episode_reward:-2.6247222222222226
intersection:17, mean_episode_reward:-1.8124999999999998
intersection:18, mean_episode_reward:-1.4941666666666675
intersection:19, mean_episode_reward:-0.3980555555555556
intersection:20, mean_episode_reward:-0.5033333333333332
intersection:21, mean_episode_reward:-1.5072222222222222
intersection:22, mean_episode_reward:-1.2138888888888895
intersection:23, mean_episode_reward:-4.106388888888891
intersection:24, mean_episode_reward:-3.981666666666665
intersection:25, mean_episode_reward:-4.563888888888888
intersection:26, mean_episode_reward:-2.5922222222222233
intersection:27, mean_episode_reward:-0.6908333333333333
intersection:28, mean_episode_reward:-0.5933333333333333
intersection:29, mean_episode_reward:-4.063888888888891
intersection:30, mean_episode_reward:-1.6916666666666667
intersection:31, mean_episode_reward:-0.9061111111111109
intersection:32, mean_episode_reward:-46.28416666666668
intersection:33, mean_episode_reward:-24.917500000000004
intersection:34, mean_episode_reward:-53.906944444444434
intersection:35, mean_episode_reward:-16.460555555555555
intersection:36, mean_episode_reward:-13.462222222222222
intersection:37, mean_episode_reward:-23.736388888888886
intersection:38, mean_episode_reward:-25.311111111111117
intersection:39, mean_episode_reward:-15.850000000000003
intersection:40, mean_episode_reward:-21.950833333333335
intersection:41, mean_episode_reward:-26.273888888888884
intersection:42, mean_episode_reward:-14.574722222222217
intersection:43, mean_episode_reward:-6.498888888888887
intersection:44, mean_episode_reward:-3.365833333333333
intersection:45, mean_episode_reward:-2.382777777777778
intersection:46, mean_episode_reward:-1.18
intersection:47, mean_episode_reward:-52.29611111111111
